id,x,y,z,label,size
Pharrell Williams,0.027064312188797623,-0.014891022893576718,-0.13096574770487396,Pharrell Williams,5
Brandi Carlile,-0.01916910387743706,-0.21113336448878858,-0.0649621574956726,Brandi Carlile,1
WATT,-0.003911432607778183,-0.17643232680931023,-0.03340010975987882,WATT,5
Yo-Yo Ma,-0.02160571498064563,-0.17799264965990025,-0.029130982909983737,Yo-Yo Ma,5
Robert Trujillo,-0.011123416645706532,-0.17771510261817497,-0.024288788113565538,Robert Trujillo,5
Chad Smith,-0.014492007348764725,-0.17696387397435975,-0.03857245019424465,Chad Smith,5
French Montana,-0.007690547597330566,-0.20530296164072762,-0.07656640467335468,French Montana,1
Billy Idol,0.006752909992851299,-0.20468611525925937,-0.06696696266059572,Billy Idol,1
Sia,0.00558764269376266,-0.2089139542892578,-0.04967656129065739,Sia,1
070 Shake,0.16523239251626462,0.010647858726017144,0.09516378735910332,070 Shake,4
cassö,0.12782206962406784,0.0069544726463861275,0.12461163245913691,cassö,11
Valexus,0.1656268708862933,0.004581278785778093,0.12989182570511043,Valexus,3
D-Block Europe,0.1271968437643936,0.0005217757049598566,0.12313177172177517,D-Block Europe,11
Central Cee,0.23343844165617758,-0.053495059963715015,-0.025994945401242368,Central Cee,3
Disclosure,0.2014725692067892,0.022167782289783763,0.12033195245648107,Disclosure,1
Mahalia,0.19945779700458374,-0.01538044425410398,0.11761783919101053,Mahalia,1
Da Beatfreakz,0.20643648004064724,0.01074229982229478,0.10058466901692231,Da Beatfreakz,3
Russ Millions,0.2053041513063023,-0.0010275475300172469,0.10746037848113103,Russ Millions,3
wewantwraiths,0.20510427274394027,-0.000974013305220459,0.09411495007811724,wewantwraiths,3
David Guetta,0.05364931367996118,0.002238484742874872,0.14542185821908982,David Guetta,55
Hypaton,0.12045082101568509,0.002422362564890567,0.13981847484603555,Hypaton,4
Riton,0.2002305570471752,0.0036778444483869083,0.1278009254499201,Riton,1
Coi Leray,0.06264058602190443,-0.03074856420669005,0.14530058617529062,Coi Leray,5
The Heritage Orchestra,0.1565798766643297,0.002586573894222666,0.09740796177166461,The Heritage Orchestra,6
MORTEN,0.12128810070577972,-0.0010572699090999104,0.15177097972427694,MORTEN,2
Joel Corry,0.11852643667029414,-0.012025769028355858,0.14494848347279027,Joel Corry,2
Hans Zimmer,0.20314696248126476,0.02799365476447625,0.09999283102970277,Hans Zimmer,1
Tate McRae,0.06457502766275916,0.0023406152403010055,0.021898180624419842,Tate McRae,11
Flo Milli,0.12764793748971948,-0.016497406530181946,0.011493828226265015,Flo Milli,1
Tiësto,0.08185561157272954,0.07089769047849602,0.1497743678675739,Tiësto,9
