song_id,primary_artist,community_id,degree
6wmAHw1szh5RCKSRjiXhPe,Charlie Puth,6,16
0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6,16
5MwIGPDKeDb7SpblcaQP6O,Charlie Puth,6,16
1lsBTdE6MGsKeZCD6llNu7,Charlie Puth,6,16
2EbseeW2cr5zK3J8VuYntw,Charlie Puth,6,16
2DXavoWAmIHlrECHPM1Vca,Charlie Puth,6,16
4LfkoDOt4mhrbo8Ndk37sQ,Charlie Puth,6,16
37R0bQOQj5a7DOqh1TGzvB,Charlie Puth,6,16
2WNHUp4s806SJrsj698ZX3,Charlie Puth,6,16
3qonjOrhFCfTnaaMruHzxW,Charlie Puth,6,16
3rKYiySCDMUKTw5kGVVhaa,Charlie Puth,6,16
0wPKDeY4fZXT6k9bzV0kx0,Charlie Puth,6,16
6qNALlmZa1ESnCxJmXE1K9,Charlie Puth,6,16
28a0aMV1OKoyNiCJuNsWrY,Charlie Puth,6,16
5TTyyKNJZHONhjtAiXL1nG,Charlie Puth,6,16
0Ts1lnK3lYa2dwE2orDJc5,Charlie Puth,6,16
3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,6,16
66CFbqJScx6zRieGllITcs,Charlie Puth,6,16
5tqNWWiySiABLrGAvSWsO5,Charlie Puth,6,16
2ZrHbO88rM6Ijeg0aJmSzl,Charlie Puth,6,16
4I8s6vwzHT2geqH91w2Dyg,Charlie Puth,6,16
6o4LOloYJc8yu0CdvOvifU,Charlie Puth,6,16
6pQadiopoIsS4x78tjSkJt,Charlie Puth,6,16
1q4BCQssFe74UJmnWt5lov,Charlie Puth,6,16
7aSvPfoqiM0zwPqupLGaHd,Charlie Puth,6,16
1UNs8AlFM8c0uAkSyjIW3P,Charlie Puth,6,16
7eJECM4njsc622iY9zg4af,Charlie Puth,6,16
6TapyDFlRUlZ4cmIaqJx4k,Charlie Puth,6,16
0Ipbnpn89nxSZQDb8wbeTc,Charlie Puth,6,16
2g3afkZqrBxT9RWNSPSWa7,Charlie Puth,6,16
3707IBa4HnS3zDDoWfeUBl,Charlie Puth,6,16
0djtkuu6afzGQKcuEi2gNV,Charlie Puth,6,16
7k7JKDjCd9zuL0iF7iWaNs,Charlie Puth,6,16
6RhEbk4odKK0PwPhpok7h1,Charlie Puth,6,16
60wzbPwV6EHfBTAf95rb9n,Charlie Puth,6,16
5QLAHKawoQwVRNf1waaVW7,Charlie Puth,6,16
1QNPTNaw67BanVtwXKIX1a,Charlie Puth,6,16
17RMnDmv5CEo3s0tmipRyb,Charlie Puth,6,16
6LXIhiXK8z1KLd3giR904b,Charlie Puth,6,16
0Pb4CCKPAlvssNb5zlVGER,Charlie Puth,6,16
6IcrwGdIvRsrImOnoYfG9Z,Charlie Puth,6,16
6Euy9FOI8qtbekN57TQ861,Charlie Puth,6,16
1PuQTv1Kr1gzLgVeATSuh6,Charlie Puth,6,16
3E9es0SK2EusrHA7IaO7Zu,Charlie Puth,6,16
4oTn7ylKtjeMYwxatEVFAt,Charlie Puth,6,16
2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,0,24
3BKD1PwArikchz2Zrlp1qi,Anne-Marie,0,24
7oDSG2Q9RBU0QjgtfYQOdD,Anne-Marie,0,24
01BC4Xj5tfsfV8DLDrma7q,Anne-Marie,0,24
